kind	class	method	param	index	uri
PARAMETER	org.opencms.search.solr.updateprocessors.CmsSolrCopyModifiedUpateProcessor	CmsSolrCopyModifiedUpateProcessor(java.lang.String,java.lang.String,java.util.regex.Pattern,java.lang.String,org.apache.solr.update.processor.UpdateRequestProcessor)	source	0	/Users/nima/Developer/opencms-core/src/org/opencms/search/solr/updateprocessors/CmsSolrCopyModifiedUpateProcessor.java
PARAMETER	org.opencms.search.solr.updateprocessors.CmsSolrCopyModifiedUpateProcessor	CmsSolrCopyModifiedUpateProcessor(java.lang.String,java.lang.String,java.util.regex.Pattern,java.lang.String,org.apache.solr.update.processor.UpdateRequestProcessor)	target	1	/Users/nima/Developer/opencms-core/src/org/opencms/search/solr/updateprocessors/CmsSolrCopyModifiedUpateProcessor.java
PARAMETER	org.opencms.search.solr.updateprocessors.CmsSolrCopyModifiedUpateProcessor	CmsSolrCopyModifiedUpateProcessor(java.lang.String,java.lang.String,java.util.regex.Pattern,java.lang.String,org.apache.solr.update.processor.UpdateRequestProcessor)	regex	2	/Users/nima/Developer/opencms-core/src/org/opencms/search/solr/updateprocessors/CmsSolrCopyModifiedUpateProcessor.java
PARAMETER	org.opencms.search.solr.updateprocessors.CmsSolrCopyModifiedUpateProcessor	CmsSolrCopyModifiedUpateProcessor(java.lang.String,java.lang.String,java.util.regex.Pattern,java.lang.String,org.apache.solr.update.processor.UpdateRequestProcessor)	replacement	3	/Users/nima/Developer/opencms-core/src/org/opencms/search/solr/updateprocessors/CmsSolrCopyModifiedUpateProcessor.java
